preset,exchange_id,uptake_limit,origin,source_value,factor,scale
gut_overlay_agora_high_fiber.csv,EX_gam_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_glc__D_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_glcn_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_gln__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_glu__D_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_glu__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_gly_m,0.045000000000000005,agora_table12,0.45,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_glyc_m,0.089982743,agora_table12,0.89982743,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_glyc3p_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_gthox_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_gthrd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_gua_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_h_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_h2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_h2o_m,10.0,agora_table12,10.0,1.0,1.0
gut_overlay_agora_high_fiber.csv,EX_h2s_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_hdca_m,0.019818545000000003,agora_table12,0.19818545,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_hdcea_m,0.0018258480000000001,agora_table12,0.01825848,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_his__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_hxan_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_ile__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_indole_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_k_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_lcts_m,0.001973684,agora_table12,0.01973684,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_leu__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_lys__L_m,0.015,agora_table12,0.15,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_malt_m,0.001973684,agora_table12,0.01973684,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_man_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_melib_m,0.001973684,agora_table12,0.01973684,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_meoh_m,10.0,agora_table12,10.0,1.0,1.0
gut_overlay_agora_high_fiber.csv,EX_met__L_m,0.018,agora_table12,0.18,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_metsox_S__L_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_mg2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_mn2_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_mnl_m,0.003947368,agora_table12,0.03947368,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_mobd_m,0.1,agora_table12,1.0,0.1,1.0
gut_overlay_agora_high_fiber.csv,EX_n2_m,0.0,background_closure,,,1.0
